Time,hotWaterPump,mashStirrer,controllerInfo,dispenser2,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,dispenser1,envTemp,boiler,delayTimer,waterHeater
11:42:47.464700,0,0,0.0,1,0,0,1,0,0.0,0,0,1,0,1,68.7875,0,0.0,0
11:42:55.816828,0,0,0,1,0,65.075,1,0,0,0,0,1,0,1,68.7875,65.075,1.01666666667,168.9125
11:43:14.909887,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.7875,65.1875,1.33333333333,163.5125
11:43:25.209413,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.7875,65.1875,1.53333333333,161.825
11:43:30.359562,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,1.58333333333,160.925
11:43:39.660735,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.7875,65.1875,1.76666666667,159.9125
11:43:45.315764,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.7875,65.1875,1.86666666667,159.4625
11:43:55.119275,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.7875,65.1875,2.03333333333,159.4625
11:44:04.418562,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.16666666667,159.35
11:44:09.571714,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.26666666667,159.35
11:44:14.724267,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.35,159.2375
11:44:19.873263,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.43333333333,159.35
11:44:29.176788,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.58333333333,159.35
11:44:39.478874,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,2.73333333333,159.35
11:44:44.629106,0,0,0,1,0,65.1875,1,0,0,0,0,1,0,1,68.9,65.1875,2.85,159.35
11:44:53.930130,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,3.0,159.6875
11:44:59.081378,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,3.06666666667,159.6875
11:45:08.622295,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,159.9125
11:45:16.008208,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,159.9125
11:45:21.464187,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,159.9125
11:45:27.733685,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.1375
11:45:34.503335,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.25
11:45:40.770802,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.3625
11:45:47.035813,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.475
11:45:53.305057,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.7
11:46:00.387797,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.8125
11:46:06.350538,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.8125
11:46:11.812703,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,160.925
11:46:18.080988,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,161.0375
11:46:24.659495,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,161.0375
11:46:31.127206,0,0,0,1,0,65.3,1,0,0,0,0,1,0,1,68.9,65.3,0,161.15
